id,budget,original_language,popularity,runtime,revenue,has_homepage,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,Thriller,War,Western,overview_count,overview_life,overview_find,overview_one,overview_new,overview_love,company_count,production_company_Warner Bros.,production_company_Universal Pictures,production_company_Paramount Pictures,production_company_Twentieth Century Fox Film Corporation,production_country_count,release_month,release_day,release_year,dayofweek,spoken_language_count,has_Released,tagline_count,tagline_one,tagline_love,tagline_world,tagline_life,tagline_stori,tagline_man,title_count,keyword_count,keyword_relationship,keyword_base,keyword_woman,keyword_film,keyword_murder,keyword_love,cast_1,cast_2,cast_3,cast_count,crew_count
1,14000000,en,6.575392999999999,93.0,12314651,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,3,0,0,1,0,1,2,20,2015,4,1,1,11,0,0,0,0,0,0,5,4,0,0,0,0,0,0,Rob Corddry,Craig Robinson,Craig Robinson,24.0,72
2,40000000,en,8.248895,113.0,95149435,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,70,1,0,0,0,0,1,0,0,0,0,1,8,6,2004,4,1,1,14,0,1,0,0,0,0,6,4,0,0,0,0,0,1,Anne Hathaway,Julie Andrews,Julie Andrews,20.0,9
3,3300000,en,64.29999000000001,105.0,13092000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,3,0,0,0,0,1,10,10,2014,4,1,1,10,0,0,0,0,0,0,1,12,0,0,0,0,0,0,Miles Teller,J.K. Simmons,J.K. Simmons,51.0,64
4,1200000,hi,3.174936,122.0,16000000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,104,1,1,0,0,0,0,0,0,0,0,1,3,9,2012,4,2,1,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,Vidya Balan,Nawazuddin Siddiqui,Nawazuddin Siddiqui,7.0,3
5,0,ko,1.1480700000000001,118.0,3923970,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,0,1,0,0,0,0,0,0,0,0,1,2,5,2009,3,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Kim Kang-woo,Jo Jae-hyeon,Jo Jae-hyeon,4.0,2
6,8000000,en,0.743274,83.0,3261638,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,8,6,1987,3,1,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,Scott Grimes,Tom Bosley,Tom Bosley,4.0,11
7,14000000,en,7.2864770000000005,92.0,85446075,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,41,0,1,0,0,0,2,0,0,0,0,2,8,30,2012,3,1,1,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Jeffrey Dean Morgan,Natasha Calis,Natasha Calis,14.0,77
8,0,en,1.9490439999999998,84.0,2586511,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,1,15,2004,3,2,1,4,0,0,0,0,0,0,2,7,0,0,1,0,0,0,Samir Khader,Josh Rushing,Josh Rushing,4.0,1
9,0,en,6.902423,100.0,34327391,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,76,0,1,0,0,0,3,0,0,0,0,1,2,16,1996,4,1,1,5,0,0,0,0,0,0,3,4,0,0,0,0,0,0,Tim Curry,Kevin Bishop,Kevin Bishop,12.0,8
10,6000000,en,4.672036,91.0,18750246,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,53,0,0,1,1,0,1,0,0,0,0,1,4,16,2003,2,1,1,7,0,0,0,0,0,0,3,2,0,0,0,0,0,0,Bob Balaban,Christopher Guest,Christopher Guest,20.0,11
11,1000000,en,14.774066,119.0,117235147,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,1,0,0,0,0,1,11,21,1976,6,1,1,9,1,0,0,1,0,0,1,16,0,0,0,0,0,0,Sylvester Stallone,Talia Shire,Talia Shire,37.0,31
12,0,en,10.54375,98.0,22642033,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,4,0,0,0,1,1,7,10,1987,4,1,1,3,0,0,0,0,0,0,8,6,0,0,0,0,0,0,Robert Carradine,Curtis Armstrong,Curtis Armstrong,14.0,2
13,15000000,en,20.726578,122.0,356296601,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,0,0,0,2,0,0,0,0,1,9,15,1999,2,1,1,2,0,0,0,0,0,0,2,21,1,0,0,1,0,0,Kevin Spacey,Annette Bening,Annette Bening,40.0,109
14,53000000,en,13.314232999999998,118.0,95226116,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,4,0,0,0,0,1,3,4,2005,4,2,1,8,0,0,0,0,0,0,2,8,0,0,0,0,0,0,John Travolta,Uma Thurman,Uma Thurman,59.0,18
15,102000000,en,20.666063,145.0,358372926,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,35,0,0,0,0,0,7,0,0,0,1,1,6,20,2002,3,2,1,9,0,0,0,0,0,0,2,9,0,0,0,0,1,0,Tom Cruise,Colin Farrell,Colin Farrell,23.0,156
16,500000,sr,1.018477,97.0,198,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,1,0,0,0,0,1,10,6,2010,2,1,1,13,1,0,0,1,0,0,1,2,0,0,0,0,0,0,Nikola Rakočević,Viktor Savić,Viktor Savić,13.0,25
